# data_kind=vectorized_published_figure_reference
# manuscript_figure=Fig. 11
# source_sha256=389f612b8b8a059bcc62c061f53a12b9168cec34c52785bc5bafcbb7e2e8e8a4
# y_axis_calibration=[1.3,2.3]
# displayed_time_grid=0.1,0.2,...,100.1; the manuscript does not document its conversion to Floquet layers
displayed_time,theta_0.30_pi,theta_0.35_pi,theta_0.40_pi,theta_0.45_pi,theta_0.50_pi
0.1,2.252155004309,2.242296438201,2.219618845279,2.191606621700,2.173351627096
0.2,2.224700129399,2.217982986603,2.198287571604,2.172700179132,2.155632267651
0.3,2.171252520899,2.171259758736,2.158093289796,2.138028721012,2.123754792570
0.4,2.117218606821,2.124471384776,2.118369497053,2.104334432061,2.093172973729
0.5,2.075547713579,2.088851706985,2.088540461456,2.079355056824,2.070669096312
0.6,2.046739276026,2.064777122544,2.068823331093,2.063141263868,2.056163544109
0.7,2.025755444478,2.047687493846,2.055164659577,2.052139047219,2.046413552970
0.8,2.009809468174,2.034622362038,2.044582263426,2.043424135357,2.038559997470
0.9,1.998792773998,2.025212571483,2.036511557986,2.036330600939,2.031864568186
1.0,1.991800574859,2.018973155588,2.030858445816,2.031053878538,2.026732613646
1.1,1.986154702379,2.013906345289,2.026247648907,2.026732613646,2.022519923724
1.2,1.979350699977,2.008014367815,2.021108454678,2.022158009629,2.018191419142
1.3,1.970505497782,2.000501014751,2.014760465666,2.016700328328,2.013153562045
1.4,1.959691476017,1.991337323631,2.007037198647,2.010098998338,2.007087865361
1.5,1.947437032004,1.980769406861,1.997982084350,2.002230967164,1.999798898220
1.6,1.935124683441,1.969911954367,1.988449243151,1.993769392575,1.991872958789
1.7,1.924824581470,1.960777222008,1.980371299874,1.986560047202,1.985119624954
1.8,1.916927597094,1.953871882474,1.974370749283,1.981290564492,1.980219294175
1.9,1.910384171655,1.948269438870,1.969607946676,1.977193685523,1.976448141969
2.0,1.903942085202,1.942775566529,1.964924765836,1.973118521920,1.972662510383
2.1,1.897094653924,1.936905304420,1.959865195227,1.968638013492,1.968442580770
2.2,1.890305127197,1.930868562790,1.954458184345,1.963694255690,1.963701493527
2.3,1.884825734237,1.925714892886,1.949572331094,1.959011074851,1.959119649820
2.4,1.880395894376,1.921299530552,1.945171444434,1.954610188191,1.954726000998
2.5,1.876277301896,1.917231606639,1.941132473722,1.950600170681,1.950730459162
2.6,1.871905368438,1.913178158399,1.937339604298,1.947017211506,1.947241599283
2.7,1.866853035666,1.908704887809,1.933373015664,1.943419776657,1.943825121481
2.8,1.860830769711,1.903334069819,1.928552306654,1.939018889998,1.939612429706
2.9,1.854374203877,1.897326279538,1.922949863050,1.933742167596,1.934502190531
3.0,1.848294031518,1.891608021274,1.917550090004,1.928581261708,1.929478809108
3.1,1.843531230764,1.887236089669,1.913525596820,1.924860772509,1.925895849934
3.2,1.840476667057,1.884572395112,1.911223816358,1.922834050243,1.924021131513
3.3,1.838710523606,1.882994444692,1.909812347311,1.921574585042,1.922841288080
3.4,1.837682684019,1.881937651903,1.908726601321,1.920474365230,1.921748306105
3.5,1.836640368757,1.880822954564,1.907561235415,1.919272806433,1.920532269780
3.6,1.834975558733,1.879143668865,1.905881951569,1.917593520733,1.918852985934
3.7,1.832246719935,1.876523403184,1.903348545493,1.915125258898,1.916428154828
3.8,1.828562425481,1.873063496506,1.900084071537,1.912012790641,1.913380828958
3.9,1.823900960006,1.868734991924,1.896037862988,1.908183728325,1.909660343465
4.0,1.817748405569,1.863132546467,1.890913144433,1.903420927571,1.905071261921
4.1,1.810654869298,1.856762842092,1.885151459146,1.898129731348,1.900004449769
4.2,1.804002872595,1.850791246555,1.879758923938,1.893171494166,1.895241649015
4.3,1.798581384185,1.845890917630,1.875307370565,1.889038424159,1.891267820691
4.4,1.794071922556,1.841851945065,1.871652027460,1.885687092451,1.888068492828
4.5,1.790098096085,1.838363085185,1.868604703443,1.882994444692,1.885542326443
4.6,1.786080838885,1.834859745926,1.865557377574,1.880309034770,1.883045111405
4.7,1.781426613100,1.830726677772,1.861887560647,1.877015607613,1.879925403458
4.8,1.776808576501,1.826593607765,1.858167075154,1.873613607339,1.876697124247
4.9,1.772791319301,1.822916551148,1.854808503756,1.870508375066,1.873714942618
5.0,1.769186646614,1.819500073346,1.851551265784,1.867366953607,1.870645903237
5.1,1.765762930976,1.816242839080,1.848431559690,1.864363058466,1.867692676663
5.2,1.762512934547,1.813296848490,1.845760625442,1.861887560647,1.865325751960
5.3,1.759320842669,1.810575249383,1.843444369306,1.859889787876,1.863479984888
5.4,1.755325302686,1.807064672286,1.840346378576,1.857110280512,1.860852483223
5.5,1.750540784714,1.802562448494,1.836068542560,1.853013403397,1.856835226022
5.6,1.745481214106,1.797495640048,1.831001732261,1.847946593098,1.851790131088
5.7,1.740769080064,1.792711122076,1.826188261088,1.843125885940,1.846976661767
5.8,1.736780774213,1.788824155210,1.822409869191,1.839448829323,1.843364749391
5.9,1.733856502693,1.786160460653,1.819977800248,1.837233908466,1.841265643193
6.0,1.731540246557,1.784140974370,1.818240608145,1.835713866303,1.839854172294
6.1,1.729064746884,1.781875386800,1.816155977622,1.833781239625,1.838015646765
6.2,1.727153835571,1.780167147899,1.814621459785,1.832384248106,1.836683797633
6.3,1.724620429495,1.777995657771,1.812768454875,1.830791822012,1.835207184346
6.4,1.720574220946,1.774499558201,1.809742842517,1.828128127455,1.832717208999
6.5,1.715862086905,1.770214484349,1.805819686465,1.824451068985,1.829177680554
6.6,1.712112646357,1.766588096298,1.802265680493,1.820947733431,1.825667105310
6.7,1.710028015834,1.764445559371,1.800072475000,1.818689383698,1.823379802375
6.8,1.708840936417,1.763236764590,1.798841963001,1.817458871699,1.822163767903
6.9,1.707791381466,1.762201687166,1.797850316306,1.816525131407,1.821266218650
7.0,1.706430580985,1.760884317414,1.796583613268,1.815316336626,1.820108090582
7.1,1.704867109946,1.759393226600,1.795157668547,1.813955534292,1.818776241450
7.2,1.702587044848,1.757272403185,1.793181611140,1.812088053709,1.816966667270
7.3,1.699894397089,1.754854811769,1.790995647191,1.810075805264,1.815048518120
7.4,1.697491281348,1.752748465881,1.789142642282,1.808425472766,1.813492283065
7.5,1.695623798911,1.751098133384,1.787680504669,1.807093627341,1.812232819717
7.6,1.694248522756,1.749809716834,1.786464468344,1.805949974947,1.811118120525
7.7,1.692438948576,1.748058047205,1.784777946661,1.804328595651,1.809540171958
7.8,1.689616010483,1.745466734725,1.782403782268,1.802128152321,1.807426586381
7.9,1.686192294844,1.742426650399,1.779689420997,1.799667128323,1.805081378895
8.0,1.683427263155,1.739943912889,1.777452786629,1.797618690692,1.803127036854
8.1,1.681494636477,1.738112623344,1.775708356689,1.795932167156,1.801469466519
8.2,1.679699539824,1.736288571637,1.773840872399,1.794042971207,1.799565794896
8.3,1.677397759362,1.733986791174,1.771531855953,1.791719475381,1.797242299070
8.4,1.674444532788,1.731091471004,1.768687204348,1.788911016668,1.794441076341
8.5,1.671462351159,1.728239581562,1.765951125860,1.786247322111,1.791820812513
8.6,1.669232956480,1.726285239520,1.764228409432,1.784712800567,1.790373152428
8.7,1.668089304087,1.725503503074,1.763779637585,1.784524605683,1.790329721699
8.8,1.667365474044,1.725127111452,1.763736206856,1.784763469133,1.790720590848
8.9,1.666250774852,1.724272991075,1.763113712093,1.784350886472,1.790431058831
9.0,1.664383294268,1.722463416895,1.761376519990,1.782671600773,1.788766248806
9.1,1.662472382955,1.720552505582,1.759451133003,1.780738974096,1.786826386145
9.2,1.661357685616,1.719553621049,1.758553581897,1.779906569084,1.786015696497
9.3,1.660148888981,1.718525781462,1.757670510172,1.779124832637,1.785291864601
9.4,1.658129402699,1.716716207282,1.756041893039,1.777640981513,1.783880395555
9.5,1.655755240159,1.714573670356,1.754109266362,1.775853120844,1.782172156654
9.6,1.653453461550,1.712474564158,1.752162164010,1.774036306974,1.780413251040
9.7,1.651803129052,1.710940042615,1.750728981452,1.772682744331,1.779088641599
9.8,1.651086536847,1.710245165774,1.750041342448,1.772002346870,1.778415480122
9.9,1.650558141379,1.709608195336,1.749331988080,1.771249561773,1.777648219350
10.0,1.649421726822,1.708348731988,1.748000140801,1.769874285618,1.776272941343
10.1,1.647518055199,1.706495727079,1.746197804458,1.768137093516,1.774564704295
10.2,1.645650574616,1.704917776659,1.744873195017,1.767000678959,1.773536864708
10.3,1.644000240265,1.703614882582,1.743859834810,1.766218944366,1.772870941069
10.4,1.641720177021,1.701595398153,1.742071972288,1.764604802907,1.771336421378
10.5,1.638904476765,1.698982370309,1.739632665507,1.762288546771,1.769078071645
10.6,1.636219066843,1.696492396815,1.737301933696,1.760088103441,1.766942774409
10.7,1.633591563325,1.694031372817,1.734985677560,1.757880422274,1.764778522118
10.8,1.629900032886,1.690513559736,1.731612628634,1.754615946465,1.761564714875
10.9,1.624485782314,1.685330936630,1.726618202266,1.749766287958,1.756787438446
11.0,1.618839907981,1.679974594314,1.721522438766,1.744865957179,1.751981206963
11.1,1.614619980222,1.676036958882,1.717830904621,1.741369857610,1.748564729161
11.2,1.612586016412,1.674212907174,1.716180573977,1.739864291121,1.747146022277
11.3,1.612296486248,1.674089854677,1.716224002853,1.740052487859,1.747406601093
